date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:24:30	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Aug%202023%2011:24:30%20GMT	https://eecsonline.com/robots.txt		(from )
04:24:31	47877/47877	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Aug%202023%2013:54:28%20GMT	https://eecsonline.com/	C:/My%20Web%20Sites/eecs/eecsonline.com/index.html	(from )
04:24:31	4614/4614	---M-Z	200	added ('OK')	text/css	date:Thu,%2026%20Jun%202014%2021:51:42%20GMT	https://eecsonline.com/css/owl.carousel.css	C:/My%20Web%20Sites/eecs/eecsonline.com/css/owl.carousel.css	(from https://eecsonline.com/)
04:24:31	31048/31048	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Nov%202016%2013:08:06%20GMT	https://eecsonline.com/css/font-awesome.min.css	C:/My%20Web%20Sites/eecs/eecsonline.com/css/font-awesome.min.css	(from https://eecsonline.com/)
04:24:32	117324/117324	---M-Z	200	added ('OK')	text/css	date:Sun,%2031%20May%202015%2022:48:32%20GMT	https://eecsonline.com/css/bootstrap.min.css	C:/My%20Web%20Sites/eecs/eecsonline.com/css/bootstrap.min.css	(from https://eecsonline.com/)
04:24:32	71793/71793	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20Jun%202015%2017:50:38%20GMT	https://eecsonline.com/css/animate.css	C:/My%20Web%20Sites/eecs/eecsonline.com/css/animate.css	(from https://eecsonline.com/)
04:24:32	26695/26695	---M-Z	200	added ('OK')	text/css	date:Thu,%2014%20Jul%202016%2018:56:38%20GMT	https://eecsonline.com/css/camera.css	C:/My%20Web%20Sites/eecs/eecsonline.com/css/camera.css	(from https://eecsonline.com/)
04:24:33	7680/7680	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Jun%202016%2015:12:22%20GMT	https://eecsonline.com/css/venobox.css	C:/My%20Web%20Sites/eecs/eecsonline.com/css/venobox.css	(from https://eecsonline.com/)
04:24:33	70064/70064	---M-Z	200	added ('OK')	text/css	date:Wed,%2001%20Sep%202021%2015:10:01%20GMT	https://eecsonline.com/style.css	C:/My%20Web%20Sites/eecs/eecsonline.com/style.css	(from https://eecsonline.com/)
04:24:33	20090/20090	---M-Z	200	added ('OK')	text/css	date:Sat,%2011%20Feb%202017%2019:19:24%20GMT	https://eecsonline.com/css/responsive.css	C:/My%20Web%20Sites/eecs/eecsonline.com/css/responsive.css	(from https://eecsonline.com/)
